FedEx Home Delivery® Retail Rates ,,,,,,,,,,,,,,,
Effective 1/5/2026,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,FHD,FHD,FHD,FHD,FHD,FHD,FHD,To Hawaii,Intra Oahu,To Alaska,From Hawaii,From Hawaii,Intra Alaska,Alaska to US,Alaska to US
Weight,Zone 2,Zone 3,Zone 4,Zone 5,Zone 6,Zone 7,Zone 8,Zone 9,Zone 14,Zone 17,Zone 92,Zone 96,Zone 22,Zone 23,Zone 25
48,41.33,52.87,65.74,81.46,103.31,119.05,138.39,318.07,23.36,318.07,162.87,184.92,38.65,162.42,184.6
49,41.68,53.29,66.25,82.82,104.63,121.24,140.43,323.45,23.72,323.45,165.13,187.47,39.17,164.7,187.19
50,41.92,53.6,66.7,83.07,105.07,122.48,142.47,328.85,24.09,328.85,167.34,189.9,39.8,166.9,189.55
51,41.93,53.61,66.71,83.08,105.08,122.49,142.48,328.86,24.52,328.86,169.37,192.32,40.28,168.93,192
52,42.02,53.62,66.72,83.09,105.09,122.5,142.49,328.87,24.88,328.87,171.26,194.7,40.94,170.8,194.34
53,42.76,53.63,66.73,83.24,105.1,123.7,143.26,331.93,25.3,331.93,173.08,197.18,41.45,172.62,196.8
54,43.33,53.64,66.74,84.34,105.55,125.54,145.06,336.51,25.72,336.51,174.9,199.52,42.07,174.41,199.16
55,43.88,53.9,67.12,85.5,106.08,127.48,146.69,341.05,26.08,341.05,176.72,201.93,42.67,176.25,201.57
56,44.16,54.24,67.48,86.64,106.41,128.55,148.46,345.61,26.55,345.61,178.33,204.12,43.3,177.86,203.75
57,44.29,54.53,67.91,87.8,107.53,129.18,149.88,350.35,26.84,350.35,179.9,206.12,43.84,179.44,205.75
58,45.01,54.98,68.26,88.69,108.64,129.75,151.01,354.89,27.25,354.89,181.51,208.19,44.47,181,207.78
59,45.64,55.09,68.67,89.52,109.6,130.4,152.23,360.29,27.72,360.29,183.24,210.17,44.98,182.74,209.79
60,46.26,55.16,69.35,90.12,110.57,131.08,153.14,365.84,28.1,365.84,184.77,212.15,45.54,184.3,211.77
61,46.97,55.9,70.58,91.11,111.53,131.76,154.07,370.35,28.47,370.35,186.39,214.02,46.12,185.91,213.62
62,47.44,56.28,71.44,91.94,112.25,132.55,154.42,376.38,28.96,376.38,188.12,215.77,46.68,187.61,215.38
63,48.37,57.05,72.63,92.63,112.98,133.33,154.74,382.43,29.28,382.43,189.7,217.59,47.28,189.2,217.21
64,48.81,58.2,73.7,93.29,113.69,134.26,155.04,388.78,29.69,388.78,191.23,219.37,47.84,190.68,218.95
65,49.49,58.91,74.68,93.93,114.68,134.89,155.36,395.1,30.14,395.1,192.81,221.21,48.41,192.31,220.77
66,50.14,59.91,75.75,94.61,115.8,135.36,155.62,401.15,30.43,401.15,194.22,222.98,49.03,193.67,222.57
67,50.89,60.71,76.65,94.77,116.72,135.83,155.93,407.17,30.87,407.17,195.65,224.8,49.6,195.15,224.4
68,51.52,61.64,77.54,95.19,117.16,136.06,156.24,413.04,31.22,413.04,197,226.66,50.18,196.48,226.22
69,52.23,62.53,78.32,95.75,117.58,136.42,156.48,419.01,31.66,419.01,198.46,228.43,50.74,197.91,227.93
70,52.8,63.09,78.67,96.06,117.78,136.83,156.74,427.81,32.08,427.81,199.91,230.22,51.38,199.36,229.76
71,55.44,68.25,79.1,97.43,118.08,138.75,158.8,434.33,32.46,434.33,201.26,231.97,51.86,200.7,231.53
72,56.3,70.51,80.24,98.63,119.36,139.27,159.22,440.73,34.1,440.73,202.73,233.83,53.53,202.18,233.37
73,57.29,71.32,81.23,99.95,120.93,141.37,159.62,447.2,35.67,447.2,204.14,235.59,55.25,203.59,235.13
74,59.9,71.6,82.41,101.81,122.79,143.41,160.24,451.44,37.3,451.44,205.77,237.41,56.89,205.21,236.92
75,62.08,73.67,82.47,103.55,124.34,144.88,160.55,456.53,38.85,456.53,207.59,239.23,58.55,207.01,238.75
76,64.45,76.07,83.48,105.16,125.83,147.19,161.4,462.13,40.53,462.13,209.48,241.06,60.27,208.91,240.57
77,66.91,77.83,85.4,106.43,126.61,149.93,161.66,465.93,42.1,465.93,211.22,242.88,61.89,210.64,242.41
78,68.99,79.28,87.16,107.55,127.61,152.34,161.77,468.39,43.72,468.39,213.29,244.62,63.6,212.72,244.13
79,71.4,81.71,89.4,109.13,129.36,153.21,162.98,468.48,45.39,468.48,215.39,246.47,65.29,214.82,245.98
80,73.33,84.05,91.47,110.62,131.46,154.58,164.13,473.36,46.98,473.36,217.37,248.27,66.95,216.78,247.76
81,75.01,85.48,93.58,111.42,133.21,156.73,164.6,477.29,48.61,477.29,219.42,250.08,68.61,218.84,249.59
82,77.48,87.43,95.76,113.4,134.32,158.72,165.33,479.69,50.16,479.69,221.24,251.88,70.29,220.65,251.4
83,79.68,89.23,97.8,114.07,136,160.87,167.22,484.87,51.79,484.87,223.08,253.69,71.96,222.47,253.21
84,82.1,91.39,99.81,116.18,137.95,162.78,169.04,490.46,53.35,490.46,224.93,255.44,73.64,224.35,254.95
85,84.3,93.64,101.71,118.01,140.01,164.5,170.88,496.09,55,496.09,226.73,257.28,75.32,226.12,256.79
86,86.65,95.74,103.79,119.99,141.65,165.91,172.73,501.3,56.61,501.3,228.75,259.03,76.96,228.18,258.53
87,89.11,97.94,106.08,121.47,143.47,167.58,174.59,506.91,58.21,506.91,230.78,260.91,78.65,230.15,260.41
88,91.94,100.14,108.1,123.34,145.28,169.28,176.44,512.47,59.85,512.47,232.85,262.64,80.34,232.23,262.1
89,95.13,101.94,110.13,125.21,147.05,170.97,178.36,517.79,61.42,517.79,234.7,264.44,81.97,234.09,263.93
90,98.22,103.64,111.71,126.03,147.72,171.29,180.16,522.99,63.02,522.99,236.51,266.29,83.68,235.9,265.73
91,98.24,103.66,111.76,126.06,147.75,171.34,180.18,528.57,64.68,528.57,238.33,268.1,85.34,237.67,267.58
92,98.33,103.68,111.78,126.08,147.77,171.38,180.21,533.6,66.27,533.6,240.18,269.91,87.02,239.54,269.34
93,100.63,105.3,113.32,126.11,147.81,171.4,180.24,538.78,67.87,538.78,242.01,271.7,88.69,241.37,271.13
94,102.99,107.05,114.88,127.48,148.12,171.42,180.26,543.87,69.48,543.87,243.86,273.51,90.35,243.18,272.94
95,105.34,108.73,116.61,129.14,149.11,171.44,180.29,549.08,71.13,549.08,245.77,275.29,92.03,245.15,274.74
96,107.58,110.54,118.48,130.58,149.98,171.48,180.76,554.11,72.69,554.11,247.88,277.07,93.73,247.23,276.52
97,109.97,112.58,120.27,132.52,151.71,171.49,182.61,559.35,74.27,559.35,249.96,278.88,95.38,249.26,278.32
98,112.37,114.41,122.52,134.1,153.41,171.51,184.33,564.27,75.92,564.27,251.97,280.74,97.06,251.27,280.17
99,114.81,116.11,124.75,135.75,155.12,171.54,186.18,569.56,77.52,569.56,253.78,282.57,98.7,253.12,281.98
100,116.87,117.96,127,137.7,156.79,172.88,187.99,574.85,79.15,574.85,255.56,284.31,100.44,254.9,283.71
101,118.8,119.84,129.28,139.6,158.4,174.51,189.68,580.07,80.74,580.07,257.43,286.18,102.03,256.77,285.59
102,119.97,121.54,130.69,141.37,160.02,176.09,191.46,585.41,82.33,585.41,259.24,287.92,103.76,258.59,287.33
103,121.99,123.33,132.3,142.77,161.51,177.58,193.13,590.65,83.96,590.65,261.3,289.78,105.46,260.6,289.17
104,123.92,125.12,133.81,144.25,162.98,179.09,194.94,596.22,85.61,596.22,263.33,291.53,107.12,262.63,290.93
105,125.9,126.91,135.28,145.69,164.5,180.64,196.59,601.5,87.18,601.5,265.35,293.42,108.74,264.67,292.81
106,127.87,128.73,136.83,147.13,165.99,182.19,198.35,607.05,88.79,607.05,267.24,295.16,110.46,266.53,294.55
107,129.69,130.67,138.32,148.62,167.44,183.79,200.12,612.62,90.42,612.62,269.04,296.96,112.11,268.36,296.36
108,131.49,132.44,139.85,150.07,168.92,185.39,201.82,618.18,92.02,618.18,270.9,298.74,113.8,270.16,298.13
109,133.34,134.27,141.37,151.5,170.39,186.9,203.62,623.44,93.61,623.44,272.62,300.53,115.45,271.9,299.9
110,134.95,136.1,142.91,152.91,172.04,188.53,205.32,628.71,95.24,628.71,274.78,302.34,117.13,274.06,301.7
111,136.41,137.59,144.46,154.36,173.45,190.06,207.52,635.82,96.82,635.82,276.77,304.17,118.82,276.04,303.53
112,137.82,139.05,145.99,155.84,174.93,191.67,209.71,642.97,98.4,642.97,278.82,306.1,120.46,278.06,305.48
113,139.13,140.52,147.57,157.24,176.41,193.24,211.46,648.53,100.06,648.53,280.61,308.17,122.15,279.88,307.54
114,140.71,142.04,149.14,158.76,177.96,194.73,213.19,654.17,101.64,654.17,282.5,310.19,123.86,281.76,309.56
115,142.15,143.61,150.77,160.21,179.37,196.4,214.85,659.65,103.26,659.65,284.31,312.15,125.53,283.59,311.48
116,143.61,145.45,152.28,161.35,180.55,197.56,216.14,663.76,104.87,663.76,286.18,314.23,127.16,285.4,313.57
117,145.05,146.98,153.81,162.78,182.02,199.08,217.89,669.04,106.49,669.04,288.11,316.23,128.84,287.36,315.56
118,146.48,148.46,155.41,164.27,183.47,200.69,219.54,674.31,108.08,674.31,290.24,318.22,130.52,289.47,317.54
119,147.98,150.02,156.94,165.66,184.92,202.26,222.33,684.02,109.73,684.02,292.24,320.01,132.22,291.48,319.33
120,150.5,151.54,158.6,167.19,186.42,203.81,224.09,689.61,111.27,689.61,294.23,321.91,133.85,293.44,321.18
121,152.1,152.78,160.17,168.36,187.6,204.9,225.37,694.22,112.92,694.22,296.32,323.63,135.53,295.49,322.93
122,153.12,153.55,161.72,169.82,189.03,206.46,227.19,700.07,114.54,700.07,298.34,325.41,137.25,297.56,324.72
123,154.68,155.06,163.35,171.21,190.5,208.02,228.94,706.03,116.16,706.03,300.33,327.23,138.87,299.53,326.53
124,156.09,156.66,165.04,172.78,191.99,209.57,230.6,711.88,117.72,711.88,302.36,328.99,140.55,301.54,328.3
125,157.59,158.16,166.61,174.22,193.44,211.13,232.37,717.78,119.36,717.78,304.36,330.87,142.22,303.56,330.18
126,159.15,159.68,168.23,175.34,194.58,212.28,233.74,722.23,120.98,722.23,306.5,332.61,143.95,305.69,331.91
127,160.59,161.23,169.87,176.78,196.04,213.76,235.4,728.12,122.55,728.12,308.45,334.43,145.6,307.63,333.75
128,160.83,162.39,171.48,178.31,197.48,215.27,237.21,733.98,124.17,733.98,310.55,336.44,147.26,309.77,335.71
129,162.37,163.89,173.09,179.82,198.99,216.76,238.94,739.87,125.76,739.87,312.56,338.42,148.95,311.74,337.73
130,163.89,165.44,174.64,181.2,200.36,218.37,240.69,745.79,127.41,745.79,314.59,340.42,150.66,313.77,339.7
131,165.48,167.01,176.38,182.36,201.48,219.5,243.08,753.78,129.05,753.78,316.59,342.53,152.23,315.74,341.77
132,167.04,168.61,178,183.81,202.93,221.01,244.81,759.68,130.67,759.68,318.63,344.48,153.97,317.83,343.78
133,168.6,170.17,179.64,185.27,204.36,222.56,246.53,765.6,132.23,765.6,320.72,346.48,155.67,319.86,345.72
134,170.12,171.74,181.36,186.82,205.88,224.02,248.35,771.5,133.87,771.5,322.63,348.49,157.36,321.8,347.72
135,171.42,173.38,182.95,188.35,207.49,225.62,250.08,777.36,135.46,777.36,324.77,350.32,158.95,323.91,349.53
136,172.85,174.93,184.64,189.9,209.17,227.24,251.9,783.27,137.06,783.27,326.84,352.12,160.68,325.97,351.38
137,174.38,176.59,186.34,191.26,210.34,228.6,253.65,789.2,138.7,789.2,328.78,353.95,162.33,327.91,353.17
138,175.97,178.22,188.15,192.98,212.35,230.49,255.33,795.1,140.31,795.1,330.88,355.67,164.01,330.01,354.92
139,177.54,179.93,189.86,194.59,213.97,232.06,257.12,800.99,141.87,800.99,332.89,357.45,165.7,332.01,356.67
140,179.12,181.6,191.59,196.16,215.68,233.67,258.89,806.54,143.55,806.54,334.92,359.31,167.37,334.03,358.52
141,180.67,183.26,193.41,197.63,216.89,234.82,260.16,810.56,145.1,810.56,336.9,361.07,169.03,336.02,360.28
142,181.45,184.94,195.14,199.24,218.46,236.44,261.87,816.26,146.71,816.26,339,362.93,170.67,338.12,362.15
143,183.03,186.63,196.93,200.84,220.1,238.05,263.66,821.78,148.34,821.78,341.01,364.74,172.35,340.11,363.93
144,184.63,188.32,198.72,202.36,221.76,239.66,265.37,827.43,149.93,827.43,343.09,366.7,174.05,342.18,365.93
145,185.29,190.05,200.51,203.97,223.42,241.24,267.12,833.24,151.53,833.24,345.08,368.78,175.75,344.18,367.96
146,186.88,191.72,202.26,205.52,224.99,242.79,268.82,839.16,153.18,839.16,347.06,370.7,177.39,346.14,369.91
147,188.45,193.45,204.13,207.13,226.58,244.43,270.63,845,154.79,845,349.14,372.74,179.07,348.23,371.94
148,189.66,195.17,205.88,208.76,228.3,246.05,272.39,850.9,156.36,850.9,351.23,374.68,180.74,350.3,373.9
149,190.7,196.89,207.68,210.25,229.88,247.59,275.45,860.94,158,860.94,353.25,376.76,182.41,352.29,375.93
150,192.3,198.62,211.05,217.23,231.61,249.23,277.18,866.84,159.6,866.84,355.28,378.75,184.06,354.32,377.9
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
"These rates include residential delivery charges, delivery area surcharge (residential and commercial), and fuel surcharge.",,,,,,,,,,,,,,,
"For extended residential, a delivery area surcharge of $7.75 per package may apply, and for extended commercial, a delivery area surcharge of $3.55 may apply. For other FedEx fees and shipping information, see the FedEx Service Guide at fedex.com/serviceguide.",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
"We reserve the right to modify, amend, or supplement our rates.",,,,,,,,,,,,,,,
"Go to https://www.fedex.com/en-us/service-guide.html for additional rate, fee, and surcharge information.",,,,,,,,,,,,,,,
